riskscore,pred_agelastarrest,pred_shootingvic_num,pred_assaultvic_num,pred_violetoffense_num,pred_crimacttrend_num,pred_uuwarrests_num,sex,race,weaponarrest_yn,drugarrest_yn,agegrp,ageto,stoporderno,paroleestatus_yn,lastarrest_date,distlastarrest,majoritydist,dlst,distlastresidence,weaponsarrest_num,lastweaparrest_date,narcoticssarrest_num,lastnarcarrest_date,cityresidence_idoc,stateresidence_idoc,zipresidence_idoc,idoccpddist,arrestbycpd_yn,domassaultarrest_num,lastdomassaultarrest_date,currentage,lastpartytoviolence_date,trapstatus,statusi,trapflags,cvrm_flags,latitude,longitude,censustract,commarea,location,dayslastarrest_num_et,notincookcounty_et,livewherearrested_et,shootingvictim_et,assaultvictim_et,predsumwotrend_et,lastarrestpolarea_id_et,agecatchange_et,urban_yn,random,insample
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,1/28/15,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1933,1,1,0,0,0,,0,Rural/County,.0013256614,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,F,WHI,0,0,40 to 49,40 to 49,,,10/10/14,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,2043,1,1,0,0,0,,1,Rural/County,.0013258419,1
VERY LOW,50 to 59,0,0,0,-.60000002,0,M,WHI,0,0,50 to 59,50 to 59,,,5/6/15,31,31,,31,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,1835,,1,0,0,0,,1,Rural/County,.001326574,1
VERY LOW,30 to 39,0,0,0,0,0,M,BLK,1,0,30 to 39,30 to 39,,,4/13/18,31,,IL,31,1,5/25/09 19:25,,,,,,,0,3,4/13/18 11:56,30 to 39,,,Y,,,,,,,,762,,1,0,0,0,,1,Rural/County,.0013270022,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,WWH,0,1,30 to 39,30 to 39,,,12/28/14,31,,,31,,,1,8/17/12 21:15,,,,,0,,,30 to 39,,,Y,,,,,,,,1964,1,1,0,0,0,,1,Rural/County,.0013341124,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,BLK,0,0,30 to 39,30 to 39,,,8/6/14,6,6,,6,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,2108,,1,0,0,0,2,1,Chicago City,.0013422846,1
LOW,20 to 29,0,0,0,-.30000001,0,M,BLK,0,0,20 to 29,20 to 29,,,4/10/15,7,9,,6,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1861,,0,0,0,0,2,1,Chicago City,.0013511213,1
VERY LOW,40 to 49,0,0,0,.30000001,0,M,WWH,0,0,40 to 49,40 to 49,,,11/8/17,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,918,,1,0,0,0,,1,Rural/County,.0013594796,1
LOW,20 to 29,0,0,0,.5,0,M,BLK,1,1,20 to 29,20 to 29,,1,8/25/18,8,7,,8,1,4/22/13 13:23,1,8/25/18 11:11,CHICAGO,IL,60652,,1,1,7/21/13 23:28,20 to 29,,,Y,,,,,,,,628,,1,0,0,0,1,1,Chicago City,.0013629633,1
VERY LOW,20 to 29,0,0,0,.1,0,M,BLK,0,0,20 to 29,20 to 29,,,9/13/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1339,,1,0,0,0,,0,Rural/County,.001378627,1
LOW,20 to 29,0,0,0,-.2,0,M,BLK,0,1,20 to 29,20 to 29,,1,9/26/18,7,7,,7,,,5,9/26/18 12:45,CHICAGO,IL,60636,,1,,,20 to 29,,,Y,,,,,,,,596,,1,0,0,0,2,1,Chicago City,.001382491,1
VERY LOW,20 to 29,0,0,0,-.1,0,M,U,0,0,20 to 29,20 to 29,,,8/7/15,1,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1742,,0,0,0,0,1,0,Rural/County,.0013890233,1
LOW,less than 20,0,0,0,-.40000001,0,F,BLK,0,0,less than 20,less than 20,,,1/8/16,20,20,,20,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1588,,1,0,0,0,3,0,Chicago City,.0013916361,1
LOW,30 to 39,0,1,1,.2,1,M,BLK,0,1,30 to 39,30 to 39,,,5/29/18,15,15,,15,,,1,6/3/11 19:50,CHICAGO,IL,60644,,1,,,30 to 39,,,Y,,,,,,,,716,,1,0,1,3,3,1,Chicago City,.0013959194,1
LOW,less than 20,0,0,0,-.1,0,F,WWH,0,0,less than 20,less than 20,,,6/13/16,19,19,,8,,,,,,,,,1,,,less than 20,,,Y,,,,,,,,1431,,0,0,0,0,3,1,Chicago City,.0013980368,1
LOW,less than 20,0,0,1,0,0,M,BLK,0,0,less than 20,less than 20,,,9/16/16,5,5,,5,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1336,,1,0,0,1,2,0,Chicago City,.0014001693,1
VERY LOW,40 to 49,0,0,0,-.89999998,0,M,BLK,0,0,40 to 49,40 to 49,,,7/5/15,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1775,1,1,0,0,0,,1,Rural/County,.001400508,1
